"","hr_rfs_mammaprint","lower_ci_mammaprint","upper_ci_mammaprint","pval_mammaprint","hr_rfs_random70","lower_ci_random70","upper_ci_random70","pval_random70"
"373",3.70665766495419,2.7023580085067,5.08419350874827,4.44323297243881e-16,5.88950273637482,4.57735766493531,7.57778723464833,2.99476751867645e-43
"374",3.65930683615074,2.33467754117075,5.73549292566746,1.53336123331818e-08,8.62043024109967,4.06092148842601,18.2992499986668,2.03511464344027e-08
"375",3.8048132914706,2.89719259216372,4.99676970806408,7.23619454265351e-22,6.00742211359416,3.95983403890421,9.11379620871358,3.41180206301207e-17
"376",2.97298647038507,2.18719151269584,4.0410949392349,3.47032541087674e-12,4.41717120893467,3.06116984334797,6.37383826690975,2.0258678978975e-15
"377",3.37549669050439,1.96528634214541,5.79761720379525,1.04265192394906e-05,6.55221429795558,3.08777454260353,13.9037068976334,9.72605763180069e-07
"378",4.07433786980832,2.94399521080841,5.63867394091169,2.39435609742673e-17,3.902478149418,2.86210518840986,5.3210258547996,7.4845032359365e-18
"379",8.07465917340803,3.00224395659645,21.7171294902423,3.50622586816397e-05,4.4450462708255,3.0835127653055,6.4077686241789,1.29812079334296e-15
"380",3.60755870940051,2.65309637783647,4.90539278953163,2.76658051928926e-16,4.31183862966607,3.17154273332834,5.86211630475794,1.10702451357491e-20
"381",3.52287594584016,2.42731418153089,5.11291658253811,3.44874881131559e-11,2.88839218632337,2.22564815973345,3.74848530551794,1.51270196344467e-15
"382",2.61838869731235,1.99526380467904,3.4361167451318,3.87952686355077e-12,4.61786848569553,1.90034198458124,11.2215114564651,0.000732277001371903
"383",2.88674166419629,1.61362432829525,5.16432312631939,0.000353857785441634,5.16375855106051,3.79014118588442,7.03520029094337,2.37354848016915e-25
"384",4.16917215446064,2.66442612549954,6.52372992712308,4.10629426812513e-10,3.60668595379863,2.47518358944691,5.25544190935552,2.41688250406035e-11
"385",4.15393635451855,2.75453934132464,6.26427329554602,1.08915402466354e-11,4.00047272024393,3.03459897648202,5.27377162829233,8.07748676523275e-23
"386",3.13633903135447,2.05170484534576,4.79436530157425,1.29857552593404e-07,9.22769202116083,1.29378651586893,65.8147994224585,0.0266282379568785
"387",4.83509012468802,3.67583214293539,6.35994670180632,1.89436259360474e-29,11.1758155373091,4.1596495719168,30.0262920624836,1.69486410222978e-06
